environment,candidate,policy,threshold,latency,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
coverage_half,t8_l3,isolate,8.0,3,10.70625,0.54375,0.0,0.0,0.3333333333333333,0.0,0.0
coverage_half,t12_l0,revoke,12.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t12_l0,deception_silent,12.0,0,8.396875,0.34375,1.6416666666666666,1.6416666666666666,0.09166666666666666,0.0,0.0
coverage_half,t12_l0,deception,12.0,0,7.703125,0.45,5.533333333333333,5.533333333333333,0.5875,0.0,0.0
coverage_half,t12_l0,isolate,12.0,0,10.00625,0.54375,0.0,0.0,0.0,0.0,0.0
coverage_half,t12_l1,revoke,12.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t12_l1,deception_silent,12.0,1,8.6875,0.30625,1.55,1.55,0.09166666666666666,0.0,0.0
coverage_half,t12_l1,deception,12.0,1,7.7875,0.45,4.283333333333333,4.283333333333333,0.5875,0.0,0.0
coverage_half,t12_l1,isolate,12.0,1,10.2875,0.54375,0.0,0.0,0.0,0.0,0.0
coverage_half,t12_l3,revoke,12.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t12_l3,deception_silent,12.0,3,9.396875,0.184375,1.4583333333333333,1.4583333333333333,0.09166666666666666,0.0,0.0
coverage_half,t12_l3,deception,12.0,3,8.415625,0.365625,3.975,3.975,0.5875,0.0,0.0
coverage_half,t12_l3,isolate,12.0,3,11.25,0.54375,0.0,0.0,0.0,0.0,0.0
coverage_half,t20_l0,revoke,20.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t20_l0,deception_silent,20.0,0,9.55625,0.16875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t20_l0,deception,20.0,0,7.915625,0.409375,3.275,3.275,0.31666666666666665,0.0,0.0
coverage_half,t20_l0,isolate,20.0,0,11.5,0.54375,0.0,0.0,0.0,0.0,0.0
coverage_half,t20_l1,revoke,20.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t20_l1,deception_silent,20.0,1,9.84375,0.071875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t20_l1,deception,20.0,1,8.425,0.34375,2.9458333333333333,2.9458333333333333,0.31666666666666665,0.0,0.0
coverage_half,t20_l1,isolate,20.0,1,11.91875,0.54375,0.0,0.0,0.0,0.0,0.0
coverage_half,t20_l3,revoke,20.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t20_l3,deception_silent,20.0,3,10.4,0.046875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t20_l3,deception,20.0,3,9.115625,0.30625,2.7,2.7,0.31666666666666665,0.0,0.0
coverage_half,t20_l3,isolate,20.0,3,12.74375,0.54375,0.0,0.0,0.0,0.0,0.0
coverage_half,t1000_l0,revoke,1000.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t1000_l0,deception_silent,1000.0,0,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t1000_l0,deception,1000.0,0,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t1000_l0,isolate,1000.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t1000_l1,revoke,1000.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t1000_l1,deception_silent,1000.0,1,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t1000_l1,deception,1000.0,1,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t1000_l1,isolate,1000.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t1000_l3,revoke,1000.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,t1000_l3,deception_silent,1000.0,3,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t1000_l3,deception,1000.0,3,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
coverage_half,t1000_l3,isolate,1000.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t3_l0,revoke,3.0,0,5.5,0.75,9.0,9.0,0.6666666666666666,0.0,0.0
reliability_half,t3_l0,deception_silent,3.0,0,1.63125,0.884375,9.958333333333334,9.958333333333334,0.6666666666666666,0.0,0.0
reliability_half,t3_l0,deception,3.0,0,1.63125,0.884375,9.958333333333334,9.958333333333334,0.6666666666666666,0.0,0.0
reliability_half,t3_l0,isolate,3.0,0,3.225,0.9125,9.0,9.0,0.6666666666666666,0.0,0.0
reliability_half,t3_l1,revoke,3.0,1,16.0,0.25,8.333333333333334,8.333333333333334,0.6666666666666666,0.0,0.0
reliability_half,t3_l1,deception_silent,3.0,1,7.409375,0.525,9.291666666666666,9.291666666666666,0.6666666666666666,0.0,0.0
reliability_half,t3_l1,deception,3.0,1,7.409375,0.525,9.291666666666666,9.291666666666666,0.6666666666666666,0.0,0.0
reliability_half,t3_l1,isolate,3.0,1,9.1375,0.65,8.333333333333334,8.333333333333334,0.6666666666666666,0.0,0.0
reliability_half,t3_l3,revoke,3.0,3,17.5,0.0,8.0,8.0,0.6666666666666666,0.0,0.0
reliability_half,t3_l3,deception_silent,3.0,3,8.275,0.365625,8.958333333333334,8.958333333333334,0.6666666666666666,0.0,0.0
reliability_half,t3_l3,deception,3.0,3,8.275,0.365625,8.958333333333334,8.958333333333334,0.6666666666666666,0.0,0.0
reliability_half,t3_l3,isolate,3.0,3,10.696875,0.515625,8.0,8.0,0.6666666666666666,0.0,0.0
reliability_half,t5_l0,revoke,5.0,0,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
reliability_half,t5_l0,deception_silent,5.0,0,1.63125,0.884375,6.841666666666667,6.841666666666667,0.6666666666666666,0.0,0.0
reliability_half,t5_l0,deception,5.0,0,1.63125,0.884375,8.245833333333334,8.245833333333334,0.6666666666666666,0.0,0.0
reliability_half,t5_l0,isolate,5.0,0,3.225,0.9125,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
reliability_half,t5_l1,revoke,5.0,1,16.0,0.25,4.666666666666667,4.666666666666667,0.6666666666666666,0.0,0.0
reliability_half,t5_l1,deception_silent,5.0,1,7.409375,0.525,5.6,5.6,0.6666666666666666,0.0,0.0
reliability_half,t5_l1,deception,5.0,1,7.409375,0.525,7.579166666666667,7.579166666666667,0.6666666666666666,0.0,0.0
reliability_half,t5_l1,isolate,5.0,1,9.1375,0.65,4.666666666666667,4.666666666666667,0.6666666666666666,0.0,0.0
reliability_half,t5_l3,revoke,5.0,3,17.5,0.0,4.333333333333333,4.333333333333333,0.6666666666666666,0.0,0.0
reliability_half,t5_l3,deception_silent,5.0,3,8.275,0.365625,5.266666666666667,5.266666666666667,0.6666666666666666,0.0,0.0
reliability_half,t5_l3,deception,5.0,3,8.275,0.365625,7.245833333333334,7.245833333333334,0.6666666666666666,0.0,0.0
reliability_half,t5_l3,isolate,5.0,3,10.696875,0.515625,4.333333333333333,4.333333333333333,0.6666666666666666,0.0,0.0
reliability_half,t8_l0,revoke,8.0,0,17.5,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
reliability_half,t8_l0,deception_silent,8.0,0,7.809375,0.45,3.3208333333333333,3.3208333333333333,0.3333333333333333,0.0,0.0
reliability_half,t8_l0,deception,8.0,0,7.703125,0.45,7.416666666666667,7.416666666666667,0.6125,0.0,0.0
reliability_half,t8_l0,isolate,8.0,0,10.059375,0.515625,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
reliability_half,t8_l1,revoke,8.0,1,17.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
reliability_half,t8_l1,deception_silent,8.0,1,8.171875,0.365625,2.975,2.975,0.3333333333333333,0.0,0.0
reliability_half,t8_l1,deception,8.0,1,7.721875,0.45,6.804166666666666,6.804166666666666,0.6125,0.0,0.0
reliability_half,t8_l1,isolate,8.0,1,10.459375,0.515625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
reliability_half,t8_l3,revoke,8.0,3,17.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
reliability_half,t8_l3,deception_silent,8.0,3,8.671875,0.30625,2.6666666666666665,2.6666666666666665,0.3333333333333333,0.0,0.0
reliability_half,t8_l3,deception,8.0,3,8.303125,0.365625,6.470833333333333,6.470833333333333,0.6125,0.0,0.0
reliability_half,t8_l3,isolate,8.0,3,11.2125,0.515625,0.0,0.0,0.3333333333333333,0.0,0.0
reliability_half,t12_l0,revoke,12.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t12_l0,deception_silent,12.0,0,8.396875,0.34375,1.6416666666666666,1.6416666666666666,0.09166666666666666,0.0,0.0
reliability_half,t12_l0,deception,12.0,0,7.703125,0.45,5.533333333333333,5.533333333333333,0.5875,0.0,0.0
reliability_half,t12_l0,isolate,12.0,0,10.575,0.515625,0.0,0.0,0.0,0.0,0.0
reliability_half,t12_l1,revoke,12.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t12_l1,deception_silent,12.0,1,8.6875,0.30625,1.55,1.55,0.09166666666666666,0.0,0.0
reliability_half,t12_l1,deception,12.0,1,7.7875,0.45,4.283333333333333,4.283333333333333,0.5875,0.0,0.0
reliability_half,t12_l1,isolate,12.0,1,10.8125,0.515625,0.0,0.0,0.0,0.0,0.0
reliability_half,t12_l3,revoke,12.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t12_l3,deception_silent,12.0,3,9.396875,0.184375,1.4583333333333333,1.4583333333333333,0.09166666666666666,0.0,0.0
reliability_half,t12_l3,deception,12.0,3,8.415625,0.365625,3.975,3.975,0.5875,0.0,0.0
reliability_half,t12_l3,isolate,12.0,3,11.728125,0.515625,0.0,0.0,0.0,0.0,0.0
reliability_half,t20_l0,revoke,20.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t20_l0,deception_silent,20.0,0,9.55625,0.16875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t20_l0,deception,20.0,0,7.915625,0.409375,3.275,3.275,0.31666666666666665,0.0,0.0
reliability_half,t20_l0,isolate,20.0,0,11.959375,0.515625,0.0,0.0,0.0,0.0,0.0
reliability_half,t20_l1,revoke,20.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t20_l1,deception_silent,20.0,1,9.84375,0.071875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t20_l1,deception,20.0,1,8.425,0.34375,2.9458333333333333,2.9458333333333333,0.31666666666666665,0.0,0.0
reliability_half,t20_l1,isolate,20.0,1,12.359375,0.515625,0.0,0.0,0.0,0.0,0.0
reliability_half,t20_l3,revoke,20.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t20_l3,deception_silent,20.0,3,10.4,0.046875,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t20_l3,deception,20.0,3,9.115625,0.30625,2.7,2.7,0.31666666666666665,0.0,0.0
reliability_half,t20_l3,isolate,20.0,3,13.1125,0.515625,0.0,0.0,0.0,0.0,0.0
reliability_half,t1000_l0,revoke,1000.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t1000_l0,deception_silent,1000.0,0,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t1000_l0,deception,1000.0,0,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t1000_l0,isolate,1000.0,0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t1000_l1,revoke,1000.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t1000_l1,deception_silent,1000.0,1,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t1000_l1,deception,1000.0,1,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t1000_l1,isolate,1000.0,1,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t1000_l3,revoke,1000.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
reliability_half,t1000_l3,deception_silent,1000.0,3,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t1000_l3,deception,1000.0,3,12.54375,0.0,1.4583333333333333,1.4583333333333333,0.0,0.0,0.0
reliability_half,t1000_l3,isolate,1000.0,3,17.5,0.0,0.0,0.0,0.0,0.0,0.0
collateral_quarter,t3_l0,revoke,3.0,0,5.5,0.75,9.0,9.0,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l0,deception_silent,3.0,0,1.63125,0.884375,9.958333333333334,9.958333333333334,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l0,deception,3.0,0,1.63125,0.884375,9.958333333333334,9.958333333333334,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l0,isolate,3.0,0,2.0,1.0,12.333333333333334,9.0,0.6666666666666666,3.3333333333333335,5.0625
collateral_quarter,t3_l1,revoke,3.0,1,16.0,0.25,8.333333333333334,8.333333333333334,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l1,deception_silent,3.0,1,7.409375,0.525,9.291666666666666,9.291666666666666,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l1,deception,3.0,1,7.409375,0.525,9.291666666666666,9.291666666666666,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l1,isolate,3.0,1,2.75,1.0,11.5,8.333333333333334,0.6666666666666666,3.1666666666666665,4.8125
collateral_quarter,t3_l3,revoke,3.0,3,17.5,0.0,8.0,8.0,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l3,deception_silent,3.0,3,8.275,0.365625,8.958333333333334,8.958333333333334,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l3,deception,3.0,3,8.275,0.365625,8.958333333333334,8.958333333333334,0.6666666666666666,0.0,0.0
collateral_quarter,t3_l3,isolate,3.0,3,4.25,1.0,10.833333333333334,8.0,0.6666666666666666,2.8333333333333335,4.3125
collateral_quarter,t5_l0,revoke,5.0,0,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
collateral_quarter,t5_l0,deception_silent,5.0,0,1.63125,0.884375,6.841666666666667,6.841666666666667,0.6666666666666666,0.0,0.0
collateral_quarter,t5_l0,deception,5.0,0,1.63125,0.884375,8.245833333333334,8.245833333333334,0.6666666666666666,0.0,0.0
collateral_quarter,t5_l0,isolate,5.0,0,2.0,1.0,7.333333333333333,5.333333333333333,0.6666666666666666,2.0,5.0625
