environment,budget,alert_limit,policy,candidate,split,calibration_feasible,heldout_feasible,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
ideal,12.0,0.67,deception_silent,t5_l0,test,True,True,1.59375,0.885,6.858333333333333,6.858333333333333,0.6666666666666666,0.0,0.0
ideal,12.0,0.67,deception_silent,t5_l0,family_shift,True,False,1.675,0.7525,15.4825,15.4825,1.0,0.0,0.0
ideal,12.0,0.67,deception,t5_l0,test,True,True,1.59375,0.885,8.375,8.375,0.6666666666666666,0.0,0.0
ideal,12.0,0.67,deception,t5_l0,family_shift,True,False,1.675,0.7525,16.9675,16.9675,1.0,0.0,0.0
ideal,12.0,0.67,isolate,t5_l0,test,True,True,2.0,1.0,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
ideal,12.0,0.67,isolate,t5_l0,family_shift,True,False,2.0,1.0,14.5,14.5,1.0,0.0,0.0
coverage_half,0.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,0.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,0.0,0.34,deception_silent,,test,False,False,,,,,,,
coverage_half,0.0,0.34,deception_silent,,family_shift,False,False,,,,,,,
coverage_half,0.0,0.34,deception,,test,False,False,,,,,,,
coverage_half,0.0,0.34,deception,,family_shift,False,False,,,,,,,
coverage_half,0.0,0.34,isolate,t12_l0,test,True,True,10.94625,0.4975,0.0,0.0,0.0,0.0,0.0
coverage_half,0.0,0.34,isolate,t12_l0,family_shift,True,False,7.2975,0.4625,3.5,3.5,0.5,0.0,0.0
coverage_half,0.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,0.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,0.0,0.67,deception_silent,,test,False,False,,,,,,,
coverage_half,0.0,0.67,deception_silent,,family_shift,False,False,,,,,,,
coverage_half,0.0,0.67,deception,,test,False,False,,,,,,,
coverage_half,0.0,0.67,deception,,family_shift,False,False,,,,,,,
coverage_half,0.0,0.67,isolate,t12_l0,test,True,True,10.94625,0.4975,0.0,0.0,0.0,0.0,0.0
coverage_half,0.0,0.67,isolate,t12_l0,family_shift,True,False,7.2975,0.4625,3.5,3.5,0.5,0.0,0.0
coverage_half,1.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,1.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,1.0,0.34,deception_silent,,test,False,False,,,,,,,
coverage_half,1.0,0.34,deception_silent,,family_shift,False,False,,,,,,,
coverage_half,1.0,0.34,deception,,test,False,False,,,,,,,
coverage_half,1.0,0.34,deception,,family_shift,False,False,,,,,,,
coverage_half,1.0,0.34,isolate,t8_l0,test,True,True,10.44875,0.4975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,1.0,0.34,isolate,t8_l0,family_shift,True,False,6.835,0.4625,9.5,9.5,1.0,0.0,0.0
coverage_half,1.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,1.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,1.0,0.67,deception_silent,,test,False,False,,,,,,,
coverage_half,1.0,0.67,deception_silent,,family_shift,False,False,,,,,,,
coverage_half,1.0,0.67,deception,,test,False,False,,,,,,,
coverage_half,1.0,0.67,deception,,family_shift,False,False,,,,,,,
coverage_half,1.0,0.67,isolate,t8_l0,test,True,True,10.44875,0.4975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,1.0,0.67,isolate,t8_l0,family_shift,True,False,6.835,0.4625,9.5,9.5,1.0,0.0,0.0
coverage_half,3.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
coverage_half,3.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
coverage_half,3.0,0.34,deception_silent,t8_l1,test,True,True,8.15875,0.375,2.955,2.955,0.3333333333333333,0.0,0.0
coverage_half,3.0,0.34,deception_silent,t8_l1,family_shift,True,False,2.7625,0.4875,10.1975,10.1975,1.0,0.0,0.0
coverage_half,3.0,0.34,deception,t20_l1,test,True,True,8.40875,0.34375,2.9283333333333332,2.9283333333333332,0.305,0.0,0.0
coverage_half,3.0,0.34,deception,t20_l1,family_shift,True,False,3.335,0.435,8.2675,8.2675,0.9275,0.0,0.0
