environment,split,budget,alert_limit,silent_candidate,signal_candidate,calibration_feasible,heldout_both_feasible,metric,difference,ci_low,ci_high,seeds
reliability_half,test,6.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.10833333333333332,0.003333333333333335,200
reliability_half,test,6.0,0.67,t5_l1,t12_l0,True,True,harm,0.25125,0.19246875000000002,0.315,200
reliability_half,test,6.0,0.67,t5_l1,t12_l0,True,True,containment,-0.08,-0.095,-0.06375,200
reliability_half,test,6.0,0.67,t5_l1,t12_l0,True,True,benign_cost,-0.16166666666666668,-0.40841666666666676,0.078375,200
reliability_half,test,12.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14871874999999998,0.3125,200
reliability_half,test,12.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08,-0.045,200
reliability_half,test,12.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.10833333333333332,0.003333333333333335,200
reliability_half,test,12.0,0.67,t5_l0,t5_l0,True,True,harm,0.0,0.0,0.0,200
reliability_half,test,12.0,0.67,t5_l0,t5_l0,True,True,containment,0.0,0.0,0.0,200
reliability_half,test,12.0,0.67,t5_l0,t5_l0,True,True,benign_cost,1.5166666666666666,1.3649583333333335,1.6833750000000003,200
reliability_half,family_shift,0.0,0.34,,,False,False,harm,,,,200
reliability_half,family_shift,0.0,0.34,,,False,False,containment,,,,200
reliability_half,family_shift,0.0,0.34,,,False,False,benign_cost,,,,200
reliability_half,family_shift,0.0,0.67,,,False,False,harm,,,,200
reliability_half,family_shift,0.0,0.67,,,False,False,containment,,,,200
reliability_half,family_shift,0.0,0.67,,,False,False,benign_cost,,,,200
reliability_half,family_shift,1.0,0.34,,,False,False,harm,,,,200
reliability_half,family_shift,1.0,0.34,,,False,False,containment,,,,200
reliability_half,family_shift,1.0,0.34,,,False,False,benign_cost,,,,200
reliability_half,family_shift,1.0,0.67,,,False,False,harm,,,,200
reliability_half,family_shift,1.0,0.67,,,False,False,containment,,,,200
reliability_half,family_shift,1.0,0.67,,,False,False,benign_cost,,,,200
reliability_half,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,harm,0.5725,0.40493750000000006,0.7476250000000001,200
reliability_half,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
reliability_half,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.1900625,-1.6799374999999999,200
reliability_half,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,harm,0.5725,0.40493750000000006,0.7476250000000001,200
reliability_half,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
reliability_half,family_shift,3.0,0.67,t8_l1,t20_l1,True,False,benign_cost,-1.93,-2.1900625,-1.6799374999999999,200
reliability_half,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,harm,0.135,0.08,0.195,200
reliability_half,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,containment,-0.0525,-0.07249999999999998,-0.0325,200
reliability_half,family_shift,6.0,0.34,t8_l0,t20_l0,True,False,benign_cost,-2.0175,-2.2900625000000003,-1.7450000000000003,200
reliability_half,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,harm,0.525,0.42749999999999994,0.6250625000000001,200
reliability_half,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,containment,-0.155,-0.1875,-0.12249999999999998,200
reliability_half,family_shift,6.0,0.67,t5_l1,t12_l0,True,False,benign_cost,-0.81,-1.1150625,-0.5125,200
reliability_half,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,harm,0.135,0.08,0.195,200
reliability_half,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,containment,-0.0525,-0.07249999999999998,-0.0325,200
reliability_half,family_shift,12.0,0.34,t8_l0,t20_l0,True,False,benign_cost,-2.0175,-2.2900625000000003,-1.7450000000000003,200
reliability_half,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,harm,0.0,0.0,0.0,200
reliability_half,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,containment,0.0,0.0,0.0,200
reliability_half,family_shift,12.0,0.67,t5_l0,t5_l0,True,False,benign_cost,1.485,1.3324375,1.6375,200
collateral_quarter,test,0.0,0.34,,,False,False,harm,,,,200
collateral_quarter,test,0.0,0.34,,,False,False,containment,,,,200
collateral_quarter,test,0.0,0.34,,,False,False,benign_cost,,,,200
collateral_quarter,test,0.0,0.67,,,False,False,harm,,,,200
collateral_quarter,test,0.0,0.67,,,False,False,containment,,,,200
collateral_quarter,test,0.0,0.67,,,False,False,benign_cost,,,,200
collateral_quarter,test,1.0,0.34,,,False,False,harm,,,,200
collateral_quarter,test,1.0,0.34,,,False,False,containment,,,,200
collateral_quarter,test,1.0,0.34,,,False,False,benign_cost,,,,200
collateral_quarter,test,1.0,0.67,,,False,False,harm,,,,200
collateral_quarter,test,1.0,0.67,,,False,False,containment,,,,200
collateral_quarter,test,1.0,0.67,,,False,False,benign_cost,,,,200
collateral_quarter,test,3.0,0.34,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.31625,200
collateral_quarter,test,3.0,0.34,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04253125000000001,-0.02121875,200
collateral_quarter,test,3.0,0.34,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06,0.008333333333333335,200
collateral_quarter,test,3.0,0.67,t8_l1,t20_l1,True,True,harm,0.25,0.1825,0.31625,200
collateral_quarter,test,3.0,0.67,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04253125000000001,-0.02121875,200
collateral_quarter,test,3.0,0.67,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06,0.008333333333333335,200
collateral_quarter,test,6.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14246874999999998,0.30625,200
collateral_quarter,test,6.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08125,-0.045,200
collateral_quarter,test,6.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.108375,4.166666666666974e-05,200
collateral_quarter,test,6.0,0.67,t5_l1,t12_l0,True,True,harm,0.25125,0.1875,0.31875,200
collateral_quarter,test,6.0,0.67,t5_l1,t12_l0,True,True,containment,-0.08,-0.0975,-0.06375,200
collateral_quarter,test,6.0,0.67,t5_l1,t12_l0,True,True,benign_cost,-0.16166666666666668,-0.38833333333333336,0.07999999999999999,200
collateral_quarter,test,12.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14246874999999998,0.30625,200
collateral_quarter,test,12.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08125,-0.045,200
collateral_quarter,test,12.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.108375,4.166666666666974e-05,200
collateral_quarter,test,12.0,0.67,t5_l0,t5_l0,True,True,harm,0.0,0.0,0.0,200
collateral_quarter,test,12.0,0.67,t5_l0,t5_l0,True,True,containment,0.0,0.0,0.0,200
collateral_quarter,test,12.0,0.67,t5_l0,t5_l0,True,True,benign_cost,1.5166666666666666,1.3566666666666665,1.668375,200
collateral_quarter,family_shift,0.0,0.34,,,False,False,harm,,,,200
collateral_quarter,family_shift,0.0,0.34,,,False,False,containment,,,,200
collateral_quarter,family_shift,0.0,0.34,,,False,False,benign_cost,,,,200
collateral_quarter,family_shift,0.0,0.67,,,False,False,harm,,,,200
collateral_quarter,family_shift,0.0,0.67,,,False,False,containment,,,,200
collateral_quarter,family_shift,0.0,0.67,,,False,False,benign_cost,,,,200
collateral_quarter,family_shift,1.0,0.34,,,False,False,harm,,,,200
